analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER_yearly_False_window_5_lags_4_sinusoidal_no_quadratic,False,5,quadratic_lags_4_sinusoidal_no,0.604,0.022,406.507,412.493,True,False,False,0.506,0.388,0,1.486,1.515,0.483,,,,,,,1.029,0.029,,,,,,
CPER_yearly_False_window_5_lags_5_sinusoidal_no_quadratic,False,5,quadratic_lags_5_sinusoidal_no,0.672,0.733,389.048,394.911,True,True,False,0.428,0.577,0,1.511,1.534,0.781,,,,,,,,,1.022,0.002,,,,
CPER_yearly_False_window_5_lags_none_sinusoidal_yes_quadratic,False,5,quadratic_lags_none_sinusoidal_yes,0.733,0.0,441.369,449.423,True,True,False,0.47,0.538,0,1.57,1.707,0.24,,,,,,,,,,,1.123,1.014,0.667,0.0
CPER_yearly_False_window_5_lags_1_sinusoidal_yes_quadratic,False,5,quadratic_lags_1_sinusoidal_yes,0.776,0.0,423.424,432.926,True,True,False,0.764,0.317,0,1.508,1.695,0.257,1.011,0.668,,,,,,,,,1.159,1.018,0.709,0.0
CPER_yearly_False_window_5_lags_2_sinusoidal_yes_quadratic,False,5,quadratic_lags_2_sinusoidal_yes,0.818,0.0,405.459,414.791,True,True,False,0.706,0.637,0,1.557,1.788,0.696,,,1.036,0.141,,,,,,,1.149,1.047,0.825,0.0
CPER_yearly_False_window_5_lags_3_sinusoidal_yes_quadratic,False,5,quadratic_lags_3_sinusoidal_yes,0.831,0.0,393.148,402.307,True,True,False,0.7,0.77,0,1.554,1.744,0.71,,,,,1.022,0.038,,,,,1.133,1.035,0.958,0.0
CPER_yearly_False_window_5_lags_4_sinusoidal_yes_quadratic,False,5,quadratic_lags_4_sinusoidal_yes,0.83,0.002,382.633,391.612,True,True,False,0.672,0.731,0,1.564,1.761,0.876,,,,,,,1.034,0.012,,,1.114,1.048,0.909,0.0
CPER_yearly_False_window_5_lags_5_sinusoidal_yes_quadratic,False,5,quadratic_lags_5_sinusoidal_yes,0.849,0.308,368.228,377.022,True,True,False,0.732,0.803,0,1.576,1.728,0.474,,,,,,,,,1.025,0.001,1.094,1.033,0.838,0.0
CPER_yearly_True_window_5_lags_none_sinusoidal_no_quadratic,True,5,quadratic_lags_none_sinusoidal_no,0.571,0.0,454.933,459.766,True,True,False,0.413,0.464,0,1.501,1.501,0.111,,,,,,,,,,,,,,
CPER_yearly_True_window_5_lags_1_sinusoidal_no_quadratic,True,5,quadratic_lags_1_sinusoidal_no,0.539,0.0,445.428,451.762,True,True,False,0.433,0.153,0,1.432,1.441,0.129,1.009,0.794,,,,,,,,,,,,
