analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_2_yearly_False_window_3_lags_6_sinusoidal_yes_quadratic,False,3,quadratic_lags_6_sinusoidal_yes,0.863,0.903,81.456,81.933,True,True,False,3.346,-3.787,0,3.14,4.6,0.37,,,,,,,,,1.691,0.958,1.02,1.75,0.28,0.526
CPER-Cluster_2_yearly_True_window_3_lags_none_sinusoidal_no_quadratic,True,3,quadratic_lags_none_sinusoidal_no,0.42,0.02,146.694,148.611,True,True,False,1.424,0.07,0,1.587,1.587,0.7,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_3_lags_2_sinusoidal_no_quadratic,True,3,quadratic_lags_2_sinusoidal_no,0.678,0.007,122.756,124.696,True,True,False,1.052,-0.177,0,1.738,1.739,0.859,1.0,0.045,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_3_lags_3_sinusoidal_no_quadratic,True,3,quadratic_lags_3_sinusoidal_no,0.522,0.552,119.764,121.355,True,True,False,0.94,-2.92,0,2.079,2.081,0.785,,,1.003,0.682,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_3_lags_4_sinusoidal_no_quadratic,True,3,quadratic_lags_4_sinusoidal_no,0.524,0.854,111.141,112.351,True,True,False,0.767,-5.02,0,1.865,1.867,0.603,,,,,1.002,0.237,,,,,,,,
CPER-Cluster_2_yearly_True_window_3_lags_5_sinusoidal_no_quadratic,True,3,quadratic_lags_5_sinusoidal_no,0.54,0.35,92.468,93.257,True,True,False,1.177,-0.589,0,1.798,1.836,0.6,,,,,,,1.038,0.388,,,,,,
CPER-Cluster_2_yearly_True_window_3_lags_6_sinusoidal_no_quadratic,True,3,quadratic_lags_6_sinusoidal_no,0.705,0.058,83.598,83.916,True,True,True,1.956,0.082,0,2.209,2.599,0.501,,,,,,,,,1.39,0.423,,,,
CPER-Cluster_2_yearly_True_window_3_lags_none_sinusoidal_yes_quadratic,True,3,quadratic_lags_none_sinusoidal_yes,0.536,0.685,147.572,150.767,True,True,False,1.465,-1.321,0,1.65,1.757,0.293,,,,,,,,,,,1.0,1.107,0.628,0.201
CPER-Cluster_2_yearly_True_window_3_lags_2_sinusoidal_yes_quadratic,True,3,quadratic_lags_2_sinusoidal_yes,0.925,0.017,109.27,112.179,True,True,True,2.475,0.447,0,1.795,1.872,0.268,1.0,0.082,,,,,,,,,1.001,1.075,0.438,0.009
CPER-Cluster_2_yearly_True_window_3_lags_3_sinusoidal_yes_quadratic,True,3,quadratic_lags_3_sinusoidal_yes,0.559,0.608,122.883,125.27,True,True,False,0.827,-2.174,0,2.165,2.249,0.886,,,1.003,0.762,,,,,,,1.08,1.0,0.828,0.576
CPER-Cluster_2_yearly_True_window_3_lags_4_sinusoidal_yes_quadratic,True,3,quadratic_lags_4_sinusoidal_yes,0.71,0.37,110.195,112.011,False,True,False,1.338,-3.358,0,1.956,2.062,0.284,,,,,1.002,0.107,,,,,1.061,1.043,0.293,0.225
CPER-Cluster_2_yearly_True_window_3_lags_5_sinusoidal_yes_quadratic,True,3,quadratic_lags_5_sinusoidal_yes,0.798,0.85,89.062,90.245,True,True,False,1.373,-2.157,0,2.154,2.656,0.696,,,,,,,1.055,0.263,,,1.019,1.428,0.412,0.371
CPER-Cluster_2_yearly_True_window_3_lags_6_sinusoidal_yes_quadratic,True,3,quadratic_lags_6_sinusoidal_yes,0.863,0.903,81.456,81.933,True,True,False,3.346,-3.787,0,3.14,4.6,0.37,,,,,,,,,1.691,0.958,1.02,1.75,0.28,0.526
CPER-Cluster_2_yearly_False_window_4_lags_none_sinusoidal_no_quadratic,False,4,quadratic_lags_none_sinusoidal_no,0.263,0.085,136.851,138.769,True,True,False,1.271,-4.103,0,1.861,1.861,0.927,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_4_lags_2_sinusoidal_no_quadratic,False,4,quadratic_lags_2_sinusoidal_no,0.447,0.048,121.26,123.199,True,True,False,1.414,-3.424,0,2.359,2.545,0.808,1.186,0.175,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_4_lags_3_sinusoidal_no_quadratic,False,4,quadratic_lags_3_sinusoidal_no,0.603,0.127,112.323,113.914,True,True,True,1.618,-5.458,0,2.672,2.711,0.275,,,1.039,0.624,,,,,,,,,,
